直播名稱,觀看人數
Enlisted,"1,736 viewers "
Superscout,"1,442 viewers "
Wildfrost,"1,331 viewers "
Euro Truck Simulator 2,"1,158 viewers "
Patron,"1,070 viewers "
Kaku Ancient Seal,950 viewers 
Castle Crashers,808 viewers 
CONSCRIPT,706 viewers 
Dead by Daylight,649 viewers 
Sker Ritual,610 viewers 
The Crust,222 viewers 
Yaoling: Mythical Journey,220 viewers 
Kingdom Rush 5: Alliance TD,214 viewers 
Pacific Drive,210 viewers 
Black Desert,210 viewers 
Enshrouded,209 viewers 
Brawlhalla,207 viewers 
Flintlock: The Siege of Dawn,180 viewers 
Midnight Ramen,180 viewers 
Green Hell,168 viewers 
Yaoling: Mythical Journey,241 viewers 
Pacific Drive,222 viewers 
Brawlhalla,215 viewers 
Kingdom Rush 5: Alliance TD,214 viewers 
The Crust,205 viewers 
Black Desert,197 viewers 
Enshrouded,197 viewers 
Midnight Ramen,161 viewers 
Flintlock: The Siege of Dawn,156 viewers 
Green Hell,155 viewers 
Buckshot Roulette,153 viewers 
Fablecraft,152 viewers 
PowerWash Simulator,144 viewers 
FragPunk,143 viewers 
Supernatural,138 viewers 
Until Then,133 viewers 
"Warhammer 40,000: Darktide",130 viewers 
TerraScape,130 viewers 
Besiege,128 viewers 
Escape from Ever After: Onboarding,127 viewers 
Alien Hominid Invasion,128 viewers 
Until Then,128 viewers 
Anger Foot,127 viewers 
Car Mechanic Simulator 2021,116 viewers 
Contraband Police,113 viewers 
The Wandering Village,111 viewers 
Forgotten Mines,110 viewers 
Farming Simulator 22,106 viewers 
Shift 87,99 viewers 
World of Warships,89 viewers 
Drug Dealer Simulator 2,93 viewers 
Tempest Rising,85 viewers 
Tropico 6,82 viewers 
Ale & Tale Tavern: First Pints,82 viewers 
Shift 87,79 viewers 
shapez 2,79 viewers 
Crime Boss: Rockay City,76 viewers 
X4: Foundations,75 viewers 
Farlands,73 viewers 
Backpack Battles,71 viewers 
